_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
61141310f039809de10a3b88,,74.78,94.61,79.58,74.14,187;4,time,30,-1,4,30.00789999999851,0,5.85,false,false,english,none,normal,false,false,false,,1626947988954
61141310f039809de10a3b89,,77.18,89.78,87.58,68.5,193;11,time,30,-1,0,30.00689999999851,0,0,false,false,english,none,normal,false,false,false,,1626947945958
61141310f039809de10a3b8a,,91.18,99.13,91.98,77.47,228;1,time,30,-1,2,30.0055,0,27.03,false,false,english,none,normal,false,false,false,,1626947898117
61141310f039809de10a3b8b,,91.98,98.72,91.98,81.16,230;0,time,30,-1,2,30.007,0,5.16,false,false,english,none,normal,false,false,false,,1626622167811
61141310f039809de10a3b8c,,84.39,90.95,93.58,77.38,211;9,time,30,-1,6,30.005299999952317,0,9.45,false,false,english,none,normal,false,false,false,,1626622127054
61141310f039809de10a3b8d,,73.99,92.31,87.98,72.97,185;10,time,30,-1,1,30.0055,0,1.02,false,false,english,none,normal,false,true,false,,1626622017074
61141310f039809de10a3b8e,,87.98,96.19,93.18,79.57,220;4,time,30,-1,11,30.006799999952317,0,51.35,false,false,english,none,normal,false,false,false,,1626621569838
61141310f039809de10a3b8f,,79.99,95.71,79.99,76.67,200;0,time,30,-1,10,30.004299999952316,0,92.02,false,false,english,none,normal,false,false,false,,1626621468677
61141310f039809de10a3b90,,81.18,94.59,87.58,77.23,203;6,time,30,-1,7,30.006399999976157,0,34.1,false,false,english,none,normal,false,false,false,,1626621279367
61141310f039809de10a3b91,,82.78,98.1,82.78,78.76,207;0,time,30,-1,5,30.006299999952315,0,34.83,false,false,english,none,normal,false,false,false,,1626621172881
61141310f039809de10a3b92,,72.38,89.86,84.78,71.74,181;11,time,30,-1,2,30.00660000002384,0,2.21,false,false,english,none,normal,false,false,false,,1626621097851
61141310f039809de10a3b93,,84.79,90.46,95.99,81.97,212;14,time,30,-1,1,30.001800000071526,0,0.44,false,false,english,none,normal,false,false,false,,1626621026769
61141310f039809de10a3b94,,72.78,90.48,79.98,70.49,182;6,time,30,-1,0,30.009300000071526,0,0,false,false,english,none,normal,false,false,false,,1626620941553
61141310f039809de10a3b95,,82.38,95.74,93.98,79.93,206;4,time,30,-1,12,30.006799999952317,0,44.91,false,false,english,none,normal,false,false,false,,1626601054592
61141310f039809de10a3b96,,87.98,96.67,95.98,83.23,220;5,time,30,-1,16,30.006,0,98.35,false,false,english,none,normal,false,false,false,,1626600949017
61141310f039809de10a3b97,,81.99,89.96,93.98,88.1,205;14,time,30,-1,11,30.005300000071525,0,71.24,false,false,english,none,normal,false,false,false,,1626600747234
61141310f039809de10a3b98,,87.18,97.81,89.58,76.56,218;1,time,30,-1,8,30.00660000002384,0,57.02,false,false,english,none,normal,false,false,false,,1626600583870
61141310f039809de10a3b99,,83.58,90.08,99.58,77.5,209;13,time,30,-1,38,30.0065,0,235.8,false,false,english,none,normal,false,false,false,,1626532122111
61141310f039809de10a3b9a,,93.98,96.77,97.58,83.49,235;2,time,30,-1,14,30.006199999928473,0,85.52,false,false,english,none,normal,false,false,false,,1626531703462
61141310f039809de10a3b9b,,83.58,94.25,87.98,72.21,209;5,time,30,-1,2,30.006299999952315,0,4.25,false,false,english,none,normal,false,false,false,,1626531514822
61141310f039809de10a3b9c,,74,92.89,79.6,70.75,185;2,time,30,-1,1,30.001700000047684,0,3.31,false,false,english,none,normal,false,false,false,,1626531474919
61141310f039809de10a3b9d,,71.18,88.84,87.98,76.36,178;10,time,30,-1,0,30.006800000071525,0,0,false,false,english,none,normal,false,false,false,,1626531437117
61141310f039809de10a3b9e,,78.38,93.95,81.58,72.31,196;2,time,30,-1,3,30.007699999928473,0,7.17,false,false,english,none,normal,false,false,false,,1626443046933
61141310f039809de10a3b9f,,75.18,89.82,89.18,79.23,188;13,time,30,-1,10,30.007,0,59.14,false,false,english,none,normal,false,false,false,,1626443002687
61141310f039809de10a3ba0,,71.99,92.27,79.58,69.75,180;4,time,30,-1,12,30.006,0,38.62,false,false,english,none,normal,false,false,false,,1626442874579
61141310f039809de10a3ba1,,83.98,98.59,83.98,82.43,210;0,time,30,-1,16,30.00739999997616,0,95.11,false,false,english,none,normal,false,false,false,,1626442758897
61141310f039809de10a3ba2,,85.18,93.94,91.98,82.85,213;7,time,30,-1,8,30.007799999952315,0,35.91,false,false,english,none,normal,false,false,false,,1626442599111
61141310f039809de10a3ba3,,84.78,99.53,84.78,76.62,212;0,time,30,-1,4,30.008199999928475,0,7.77,false,false,english,none,normal,false,false,false,,1626205333882
61141310f039809de10a3ba4,,72.38,92.65,79.18,74.42,181;4,time,30,-1,7,30.008699999928474,0,17.37,false,false,english,none,normal,false,false,false,,1626205019422
61141310f039809de10a3ba5,,85.59,92.7,92.79,81.29,214;8,time,30,-1,2,30.004399999976158,0,11.19,false,false,english,none,normal,false,false,false,,1626204951552
61141310f039809de10a3ba6,,81.18,96.7,83.18,79.68,203;2,time,30,-1,5,30.007100000023843,0,17.08,false,false,english,none,normal,false,false,false,,1626204822162
61141310f039809de10a3ba7,,78,96.26,84.79,78.98,195;1,time,30,-1,3,30.001900000095368,0,4.09,false,false,english,none,normal,false,false,false,,1626204723323
61141310f039809de10a3ba8,,65.98,86.57,85.98,73.8,165;17,time,30,-1,12,30.00790000009537,0,72.13,false,false,english,none,normal,false,false,false,,1626204681541
61141310f039809de10a3ba9,,70.38,85.65,91.58,80.56,176;19,time,30,-1,2,30.008,0,27.15,false,false,english,none,normal,false,false,false,,1626204541259
61141310f039809de10a3baa,,93.98,95.53,98.38,84.77,235;8,time,30,-1,0,30.00739999997616,0,0,false,false,english,none,normal,false,false,false,,1626204466759
61141310f039809de10a3bab,,85.59,97.33,88.79,82.87,214;2,time,30,-1,6,30.00239999997616,0,52.58,false,false,english,none,normal,false,false,false,,1626173491434
61141310f039809de10a3bac,,77.2,92.34,87.2,75.68,193;8,time,30,-1,0,30.000700000047683,0,0,false,false,english,none,normal,false,false,false,,1626173397462
61141310f039809de10a3bad,,54.8,78.38,87.6,69.67,137;25,time,30,-1,1,30.000200000047684,0,2.7,false,false,english,none,normal,false,false,false,,1626173363961
61141310f039809de10a3bae,,83.58,90.65,97.58,82.93,209;14,time,30,-1,0,30.006,0,0,false,false,english,none,normal,false,false,false,,1626173326865
61141310f039809de10a3baf,,83.58,91.49,92.38,78.12,209;9,time,30,-1,2,30.007199999928474,0,20.26,false,false,english,none,normal,false,false,false,,1626102788051
61141310f039809de10a3bb0,,79.2,93.53,91.2,77.37,198;7,time,30,-1,0,30.001100000023843,0,0,false,false,english,none,normal,false,false,false,,1626081818317
61141310f039809de10a3bb1,,66.79,86.32,83.19,82.89,167;16,time,30,-1,6,30.004099999904632,0,53.4,false,false,english,none,normal,false,false,false,,1626081786140
61141310f039809de10a3bb2,,65.16,85.37,77.56,69.29,163;12,time,30,-1,3,30.01639999997616,0,8.07,false,false,english,none,normal,false,false,false,,1626081635540
61141310f039809de10a3bb3,,85.58,92.05,93.97,78.38,214;10,time,30,-1,1,30.008699999928474,0,1.98,false,false,english,none,normal,false,false,false,,1626081339099
61141310f039809de10a3bb4,,81.98,90.38,94.78,77.43,205;14,time,30,-1,12,30.007899999976157,0,92.16,false,false,english,none,normal,false,false,false,,1626081296751
61141310f039809de10a3bb5,,69.39,90.2,78.59,76.02,347;15,time,60,-1,2,60.007800000071526,0,112.68,false,false,english,none,normal,false,false,false,,1626081102906
61141310f039809de10a3bb6,,94,96.79,99.2,81.82,235;5,time,30,-1,0,30.0015,0,0,false,false,english,none,normal,false,false,false,,1626080896970
61141310f039809de10a3bb7,,83.98,93.19,90.78,79.93,210;6,time,30,-1,6,30.007100000023843,0,68.52,false,false,english,none,normal,false,false,false,,1626080856939
61141310f039809de10a3bb8,,81.58,92.41,92.78,80.57,204;8,time,30,-1,1,30.005799999952316,0,0.58,false,false,english,none,normal,false,false,false,,1626080697157
61141310f039809de10a3bb9,,79.58,90.79,90.38,81.83,199;13,time,30,-1,3,30.007299999952316,0,21.04,false,false,english,none,normal,false,false,false,,1626080633126
61141310f039809de10a3bba,,71.58,87.27,85.58,75.02,179;14,time,30,-1,2,30.006800000071525,0,17.79,false,false,english,none,normal,false,false,false,,1626080574541
61141310f039809de10a3bbb,,86.78,95.22,90.78,83.39,217;5,time,30,-1,7,30.006199999928473,0,26.65,false,false,english,none,normal,false,false,false,,1626080380478
61141310f039809de10a3bbc,,73.19,85.96,91.98,77.14,183;15,time,30,-1,1,30.005600000023843,0,1.49,false,false,english,none,normal,false,false,false,,1626080309666
61141310f039809de10a3bbd,,72.38,91.51,82.38,72.68,181;6,time,30,-1,1,30.007600000023842,0,2.95,false,false,english,none,normal,false,false,false,,1626005336433
61141310f039809de10a3bbe,,79.2,92.27,85.2,76.29,198;8,time,30,-1,0,30.000200000047684,0,0,false,false,english,none,normal,false,false,false,,1626005295437
61141310f039809de10a3bbf,,79.18,98.03,79.18,79.56,198;0,time,30,-1,2,30.009,0,32.49,false,false,english,none,normal,false,false,false,,1626005262472
61141310f039809de10a3bc0,,52.39,70.91,86.38,74.53,131;39,time,30,-1,25,30.007600000023842,0,116.85,false,false,english,none,normal,false,false,false,,1626005193367
61141310f039809de10a3bc1,,79.58,91.25,94.78,79.59,199;11,time,30,-1,6,30.00739999997616,0,55.9,false,false,english,none,normal,false,false,false,,1626004987201
61141310f039809de10a3bc2,,69.58,90.43,80.38,72.15,174;6,time,30,-1,13,30.006799999952317,0,52.66,false,false,english,none,normal,false,false,false,,1626004866586
61141310f039809de10a3bc3,,68.78,84.44,87.18,70.84,172;18,time,30,-1,12,30.007600000023842,0,75.98,false,false,english,none,normal,false,false,false,,1626004755878
61141310f039809de10a3bc4,true,81.8,88.6,96.22,75.94,227;14,words,50,-1,2,33.299600000023844,0,2.63,false,false,english,none,normal,false,false,false,,1626004584015
61141310f039809de10a3bc5,true,73.38,90.77,89.58,78.29,367;18,time,60,-1,0,60.014100000023845,0,0,false,false,english,none,normal,false,false,false,,1626004505824
61141310f039809de10a3bc6,true,94.38,94.55,101.98,82.77,236;9,time,30,-1,0,30.005,0,0,false,false,english,none,normal,false,false,false,,1626004172835
61141310f039809de10a3bc7,true,79.98,96.28,85.18,79.59,200;4,time,30,-1,3,30.007,0,26.01,false,false,english,none,normal,false,false,false,,1625953117830
61141310f039809de10a3bc8,,61.18,84.62,83.18,73.42,153;17,time,30,-1,0,30.0075,0,0,false,false,english,none,normal,false,false,false,,1625953055513
61141310f039809de10a3bc9,,65.6,92.22,65.6,56.79,164;0,time,30,-1,9,30.0015,0,53.48,false,false,english,none,normal,false,false,false,,1625953008449
61141310f039809de10a3bca,,66.79,90.1,72.39,72.76,167;2,time,30,-1,4,30.00580000001192,0,68.28,false,false,english,none,normal,false,false,false,,1625952879210
61141310f039809de10a3bcb,,57.18,89.47,65.98,67.61,143;9,time,30,-1,0,30.008600000023844,0,0,false,false,english,none,normal,false,false,false,,1625952771478
61141310f039809de10a3bcc,,68.38,90.7,85.18,79.28,171;9,time,30,-1,1,30.0085,0,7.1,false,false,english,none,normal,false,false,false,,1625850476103
61141310f039809de10a3bcd,,58.4,84.97,73.6,64.86,146;14,time,30,-1,3,30.001399999976158,1,6.12,false,false,english,none,normal,false,false,false,,1625850435123
61141310f039809de10a3bce,,72.38,88.74,91.18,79.56,181;12,time,30,-1,0,30.00769999998808,0,0,false,false,english,none,normal,false,false,false,,1625850382252
61141310f039809de10a3bcf,,76.38,90.74,83.58,80.56,191;8,time,30,-1,0,30.007199999988078,0,0,false,false,english,none,normal,false,false,false,,1625850330072
61141310f039809de10a3bd0,,67.98,87.56,85.97,71.52,170;17,time,30,-1,1,30.00960000002384,0,14.71,false,false,english,none,normal,false,false,false,,1625850284835
61141310f039809de10a3bd1,true,79.2,92.66,85.6,81.22,198;6,time,30,-1,3,30.001400000035762,0,45.11,false,false,english,none,normal,false,false,false,,1625599667640
61141310f039809de10a3bd2,,75.98,90.35,89.98,77.31,190;11,time,30,-1,4,30.007899999976157,0,50.07,false,false,english,none,normal,false,false,false,,1625599583890
61141310f039809de10a3bd3,,70.78,84.82,87.18,75.86,177;18,time,30,-1,0,30.00819999998808,0,0,false,false,english,none,normal,false,false,false,,1625599390387
61141310f039809de10a3bd4,,68,82.48,92.39,79.49,170;23,time,30,-1,2,30.00219999998808,0,11.31,false,false,english,none,normal,false,false,false,,1625599357493
61141310f039809de10a3bd5,,55.99,78.64,87.98,74.29,140;28,time,30,-1,6,30.007100000023843,0,40.25,false,false,english,none,normal,false,false,false,,1625599295983
61141310f039809de10a3bd6,,71.58,89.47,79.98,68.45,179;7,time,30,-1,0,30.009,0,0,false,false,english,none,normal,false,false,false,,1625599207766
61141310f039809de10a3bd7,,69.98,86.64,81.57,66.39,175;12,time,30,-1,0,30.00919999998808,0,0,false,false,english,none,normal,false,false,false,,1625599171759
61141310f039809de10a3bd8,,77.98,94.98,85.97,73.73,195;4,time,30,-1,0,30.008900000035762,0,0,false,false,english,none,normal,false,false,false,,1625599083171
61141310f039809de10a3bd9,,73.2,91.75,78.4,70.94,183;5,time,30,-1,0,30.001100000023843,0,0,false,false,english,none,normal,false,false,false,,1625599044457
61141310f039809de10a3bda,,71.18,89.13,91.58,73.41,178;9,time,30,-1,0,30.007200000047682,0,0,false,false,english,none,normal,false,false,false,,1625599011358
61141310f039809de10a3bdb,,73.58,88.43,84.38,73.55,184;11,time,30,-1,1,30.00620000001788,0,4.85,false,false,english,none,normal,false,false,false,,1625322633351
61141310f039809de10a3bdc,,67.59,87.91,83.98,72.54,169;14,time,30,-1,1,30.006,0,18.51,false,false,english,none,normal,false,false,false,,1625322595628
61141310f039809de10a3bdd,,67.2,84.11,82.39,76.34,168;18,time,30,-1,0,30.001899999976157,0,0,false,false,english,none,normal,false,false,false,,1625322536157
61141310f039809de10a3bde,,73.58,92.31,78.78,72.91,184;3,time,30,-1,0,30.00730000001192,0,0,false,false,english,none,normal,false,false,false,,1625322504297
61141310f039809de10a3bdf,,67.58,81.36,92.77,77.09,169;22,time,30,-1,3,30.008900000005962,0,29.37,false,false,english,none,normal,false,false,false,,1625322472055
61141310f039809de10a3be0,true,78.39,89.87,87.58,71.52,196;9,time,30,-1,0,30.0055,0,0,false,false,english,none,normal,false,false,false,,1625322367440
61141310f039809de10a3be1,,59.6,85.86,77.2,70.31,149;12,time,30,-1,0,30.0005,0,0,false,false,english,none,normal,false,false,false,,1625322335552
61141310f039809de10a3be2,,70.8,92.06,83.2,76.62,177;4,time,30,-1,0,30.00109999999404,0,0,false,false,english,none,normal,false,false,false,,1625322303106
61141310f039809de10a3be3,,63.58,82.57,85.58,75.92,159;23,time,30,-1,2,30.0075,0,13.2,false,false,english,none,normal,false,false,false,,1625322271003
61141310f039809de10a3be4,,75.99,89.13,91.59,79.15,190;12,time,30,-1,2,30.002200000017883,0,50.56,false,false,english,none,normal,false,false,false,,1625322204593
61141310f039809de10a3be5,,73.58,92.61,77.18,75.66,184;4,time,30,-1,3,30.007,0,37.69,false,false,english,none,normal,false,false,false,,1625310762684
61141310f039809de10a3be6,true,76.79,95.57,76.79,76.58,192;0,time,30,-1,0,30.00570000001788,0,0,false,false,english,none,normal,false,false,false,,1625310645003
61141310f039809de10a3be7,,65.18,86.98,81.18,69.2,163;9,time,30,-1,1,30.007400000005962,0,3.55,false,false,english,none,normal,false,false,false,,1625310604900
61141310f039809de10a3be8,,66.79,92.02,69.19,65.8,167;1,time,30,-1,2,30.004399999976158,0,43.33,false,false,english,none,normal,false,false,false,,1625310564526
61141310f039809de10a3be9,,54.4,79.08,74.4,63.21,136;19,time,30,-1,0,30.0015,0,0,false,false,english,none,normal,false,false,false,,1625310482398
61141310f039809de10a3bea,,60.4,80.19,82.8,70.79,151;20,time,30,-1,1,30.00140000000596,0,3.04,false,false,english,none,normal,false,false,false,,1625310450243
61141310f039809de10a3beb,,70.78,93.1,77.58,68.84,177;5,time,30,-1,0,30.0085,0,0,false,false,english,none,normal,false,false,false,,1625310412741
61141310f039809de10a3bec,,68.4,90.36,74.4,65.13,171;5,time,30,-1,0,30.0015,0,0,false,false,english,none,normal,false,false,false,,1625310380059
61141310f039809de10a3bed,,53.2,82.2,73.99,66.94,133;16,time,30,-1,0,30.00230000001192,0,0,false,false,english,none,normal,false,false,false,,1625310322412
61141310f039809de10a3bee,,55.6,79.81,80,70.7,139;15,time,30,-1,0,30.00009999999404,0,0,false,false,english,none,normal,false,false,false,,1625310290193
61141310f039809de10a3bef,,50,75.79,73.59,73.79,125;25,time,30,-1,0,30.00209999999404,0,0,false,false,english,none,normal,false,false,false,,1625310257920
61141310f039809de10a3bf0,,57.6,81.82,81.6,76.71,144;20,time,30,-1,0,30.0005,0,0,false,false,english,none,normal,false,false,false,,1625310225454
61141310f039809de10a3bf1,,63.19,83.33,78.78,68.37,158;16,time,30,-1,1,30.0065,0,14.13,false,false,english,none,normal,false,false,false,,1625310192726
61141310f039809de10a3bf2,,68.38,87.04,83.98,77.21,171;14,time,30,-1,0,30.008,0,0,false,false,english,none,normal,false,false,false,,1625310132323
61141310f039809de10a3bf3,,64.38,82.51,87.18,70.39,161;20,time,30,-1,0,30.007199999988078,0,0,false,false,english,none,normal,false,false,false,,1625310098464
61141310f039809de10a3bf4,,45.19,68.1,81.98,60.47,113;38,time,30,-1,0,30.009,0,0,false,false,english,none,normal,false,false,false,,1625310060970
61141310f039809de10a3bf5,true,75.18,94.66,81.18,74.02,188;5,time,30,-1,1,30.006300000011922,0,25.28,false,false,english,none,normal,false,false,false,,1624907907453